N_kN,My_kNm,Mz_kNm,neutral_axis_depth_mm,neutral_axis_angle_deg,max_concrete_strain,max_steel_strain
-360.65377370660764,-39.565615084203344,-24.509771886848107,39.313538568541595,264.0,0.02281785204297711,0.02
-360.65377370660764,-40.64628524384224,-5.605397745966911e-14,20.747373430085354,270.0,0.022686622402681763,0.02
-360.65377370660764,-39.56561446495023,24.509771636867637,39.31353818533852,276.0,0.022817852039782663,0.02
-360.65377370660764,-38.15178963901447,30.181079955581165,48.54916893176446,282.0,0.022865959669865626,0.02
-360.65377370660764,-37.31033975574678,32.07334854019046,54.66048365799466,288.0,0.02288932683480448,0.02
-360.65377370660764,-36.68503707626236,33.098175456969265,59.01985524276563,294.0,0.02290213349805533,0.02
-360.65377370660764,-36.16530161974768,33.796746850211946,62.107344539404096,300.0,0.022909570097553757,0.02
-360.65377370660764,-35.703950429951654,34.33994515062673,64.15664131877683,306.0,0.022914122770088186,0.02
-360.65377370660764,-35.25955966766835,34.82171078439225,65.15834125028704,312.0,0.022916143172256716,0.02
-360.65377370660764,-34.82171078439228,35.25955966766837,65.15834125028712,318.0,0.022916143172256716,0.02
-360.65377370660764,-34.33994515062673,35.70395042995164,64.15664131877688,324.0,0.022914122770088183,0.02
-360.65377370660764,-33.796746850211946,36.16530161974767,62.10734453940417,330.0,0.022909570097553757,0.02
-360.65377370660764,-33.09817545696926,36.68503707626235,59.01985524276563,336.0,0.022902133498055328,0.02
-360.65377370660764,-32.073348540190466,37.31033975574678,54.66048365799475,342.0,0.02288932683480448,0.02
-360.65377370660764,-30.18107995558118,38.15178963901447,48.54916893176452,348.0,0.022865959669865623,0.02
-360.65377370660764,-24.509771636867665,39.5656144649502,39.31353818533857,354.0,0.022817852039782666,0.02
-284.4144608657734,-6.5192580223083495e-15,53.185480692173826,26.65656046782115,0.0,0.02273675476361737,0.02
-284.4144608657734,27.128390399811778,52.18850735296919,45.84632355681982,6.0,0.022873383681225972,0.02
-284.4144608657734,38.479663465548654,50.55774817678998,58.40633875594817,12.0,0.02294695065548081,0.02
-284.4144608657734,41.610649380175964,49.1923167238997,66.27869353952833,18.0,0.02222922599059938,0.019345778250273588
-284.4144608657734,42.63810450310097,47.67887459597273,72.44972465027092,24.0,0.021162368075665117,0.018398481998219886
-284.4144608657734,44.00316597456837,47.235228327536696,76.40459492030546,30.0,0.020696027935883946,0.017984404115483157
-284.4144608657734,44.69063631133735,46.50433102413249,79.08872925357021,36.0,0.020401497196006296,0.017722881130936625
-284.4144608657734,45.32296980169237,45.89824231584789,80.46497170667783,42.0,0.020252937175184647,0.017590970077965676
-284.4144608657734,45.868533256729116,45.29321803276482,80.41446993547711,48.0,0.02026785445810063,0.017604215596416936
-284.4144608657734,46.19628257874501,44.36664750423343,79.54197291768502,54.0,0.020265302407650235,0.017601949551620467
-284.4144608657734,47.200595236829336,43.97110951689629,76.35044911254387,60.0,0.020713187147027277,0.017999640311584564
-284.4144608657734,48.027164719053076,43.02121340731615,72.12566777732542,66.0,0.021273174812355654,0.018496870738557176
-284.4144608657734,49.17845975309139,41.599966452806065,66.26210667926958,72.0,0.02223566658081692,0.019351497050208125
-284.4144608657734,50.557748176789964,38.47966346554864,58.40633875594815,78.0,0.02294695065548081,0.02
-284.4144608657734,52.18850735296918,27.128390399811778,45.84632355681982,84.0,0.022873383681225972,0.02
-284.4144608657734,53.18548069217388,-7.450580596923828e-15,26.656560467821183,90.0,0.02273675476361737,0.02
-284.4144608657734,52.188507352969204,-27.128390399811835,45.846323556819804,96.0,0.02287338368122597,0.02
-284.4144608657734,50.557748176789964,-38.47966346554864,58.40633875594813,102.0,0.022946950655480806,0.02
-284.4144608657734,49.174524266431895,-41.59693259317634,66.25739837808925,108.0,0.02223749537688053,0.019353120894988748
-284.4144608657734,48.02716471905307,-43.021213407316154,72.1256677773254,114.0,0.021273174812355657,0.018496870738557176
-284.4144608657734,46.86096233225756,-43.610573156664415,76.72481580757743,120.0,0.02059504270115209,0.01789473619154022
-284.4144608657734,46.285974956849095,-44.45080073709844,79.68772611422888,126.0,0.020221834373592124,0.017563352935172315
-284.4144608657734,45.575779192019304,-45.00089643202907,80.9144607388964,132.0,0.0201209869076339,0.017473807340399064
